Date	Plot	Plant	Water	Nitrogen	Length	Output_1	Output_2	Output_3	Output_4
3/11/2009	G11LRN	G	R	N	178	0.83	0.84	0.87	0.85
3/11/2009	G11RRX	G	R	X	178	0.87	0.84	0.84	0.82
3/11/2009	G12LXN	G	X	N	178	0.84	0.86	0.84	0.86
3/11/2009	G12RXX	G	X	X	178	0.84	0.86	0.84	0.86
3/11/2009	G13LAX	G	A	X	178	0.84	0.84	0.85	0.85
3/11/2009	G13RAN	G	A	N	178	0.83	0.86	0.83	0.84
3/11/2009	G14LRN	G	R	N	179	0.84	0.84	0.85	0.85
3/11/2009	G14RRX	G	R	X	179	0.83	0.84	0.84	0.86
3/11/2009	G15LRN	G	R	N	178	0.85	0.84	0.84	0.87
3/11/2009	G15RRX	G	R	X	178	0.84	0.84	0.85	0.85
3/11/2009	G16LXN	G	X	N	174	0.84	0.86	0.83	0.84
3/11/2009	G16RXX	G	X	X	174	0.83	0.84	0.84	0.86
3/11/2009	G17LAN	G	A	N	179	0.83	0.83	0.84	0.86
3/11/2009	G17RAX	G	A	X	179	0.84	0.83	0.84	0.84
3/11/2009	G18LXN	G	X	N	179	0.84	0.84	0.84	0.85
3/11/2009	G18RXX	G	X	X	179	0.83	0.85	0.84	0.86
3/11/2009	G19LXX	G	X	X	179	0.84	0.83	0.83	0.83
3/11/2009	G19RXN	G	X	N	179	0.86	0.83	0.85	0.82
3/11/2009	G20LRX	G	R	X	179	0.85	0.83	0.85	0.84
3/11/2009	G20RRN	G	R	N	179	0.84	0.87	0.87	0.85
3/11/2009	G21LRX	G	R	X	179	0.84	0.85	0.86	0.87
3/11/2009	G21RRN	G	R	N	179	0.83	0.86	0.86	0.84
3/11/2009	G22LXX	G	X	X	186	0.84	0.86	0.85	0.86
3/11/2009	G22RXN	G	X	N	186	0.87	0.85	0.88	0.92
3/11/2009	G23LAX	G	A	X	181	0.84	0.86	0.85	0.85
3/11/2009	G23RAN	G	A	N	181	0.84	0.88	0.85	0.88
3/11/2009	G24LAN	G	A	N	174	0.85	0.86	0.83	0.84
3/11/2009	G24RAX	G	A	X	174	0.83	0.85	0.84	0.83
18/11/2009	G01LXN	G	X	N	178	0.84	0.87	0.84	0.86
18/11/2009	G01RXX	G	X	X	178	0.85	0.85	0.83	0.84
18/11/2009	G02LAX	G	A	N	179	0.85	0.84	0.84	0.83
18/11/2009	G02RAN	G	A	X	179	0.84	0.86	0.85	0.87
18/11/2009	G03LRX	G	R	X	182	0.84	0.82	0.83	0.86
18/11/2009	G03RRN	G	R	N	182	0.84	0.84	0.84	0.84
18/11/2009	G04LXX	G	X	X	182	0.84	0.85	0.84	0.84
18/11/2009	G04RXN	G	X	N	182	0.82	0.84	0.83	0.85
18/11/2009	G05LRN	G	R	N	179	0.85	0.84	0.84	0.84
18/11/2009	G05RRX	G	R	X	179	0.84	0.83	0.85	0.83
18/11/2009	G06LAN	G	A	N	179	0.84	0.83	0.84	0.84
18/11/2009	G06RAX	G	A	X	179	0.83	0.85	0.85	0.84
18/11/2009	G07LRX	G	R	X	179	0.84	0.86	0.86	0.85
18/11/2009	G07RRN	G	R	N	179	0.84	0.87	0.84	0.86
18/11/2009	G08LXX	G	X	X	188	0.86	0.85	0.85	0.82
18/11/2009	G08RXN	G	X	N	188	0.84	0.86	0.83	0.83
18/11/2009	G09LAX	G	A	X	179	0.83	0.85	0.83	0.83
18/11/2009	G09RAN	G	A	N	179	0.84	0.87	0.83	0.84
18/11/2009	G10LAX	G	A	X	179	0.84	0.85	0.82	0.84
18/11/2009	G10RAN	G	A	N	179	0.84	0.83	0.83	0.85
18/11/2009	G11LRN	G	R	N	178	0.82	0.83	0.86	0.84
18/11/2009	G11RRX	G	R	X	178	0.85	0.83	0.83	0.82
18/11/2009	G12LXN	G	X	N	178	0.83	0.85	0.83	0.85
18/11/2009	G12RXX	G	X	X	178	0.83	0.85	0.83	0.85
18/11/2009	G13LAX	G	A	X	178	0.84	0.85	0.84	0.84
18/11/2009	G13RAN	G	A	N	178	0.82	0.84	0.83	0.84
18/11/2009	G14LRN	G	R	N	179	0.83	0.82	0.84	0.84
18/11/2009	G14RRX	G	R	X	179	0.83	0.83	0.83	0.85
18/11/2009	G15LRN	G	R	N	178	0.83	0.83	0.83	0.86
18/11/2009	G15RRX	G	R	X	178	0.83	0.84	0.84	0.84
18/11/2009	G16LXN	G	X	N	174	0.84	0.85	0.83	0.83
18/11/2009	G16RXX	G	X	X	174	0.83	0.84	0.83	0.85
18/11/2009	G17LAN	G	A	N	179	0.82	0.82	0.83	0.85
18/11/2009	G17RAX	G	A	X	179	0.83	0.82	0.83	0.83
18/11/2009	G18LXN	G	X	N	179	0.83	0.83	0.83	0.85
18/11/2009	G18RXX	G	X	X	179	0.82	0.83	0.84	0.85
18/11/2009	G19LXX	G	X	X	179	0.83	0.82	0.83	0.83
18/11/2009	G19RXN	G	X	N	179	0.84	0.83	0.84	0.82
18/11/2009	G20LRX	G	R	X	179	0.84	0.82	0.84	0.83
18/11/2009	G20RRN	G	R	N	179	0.83	0.86	0.85	0.84
18/11/2009	G21LRX	G	R	X	179	0.83	0.84	0.85	0.85
18/11/2009	G21RRN	G	R	N	179	0.83	0.84	0.84	0.83
18/11/2009	G22LXX	G	X	X	186	0.84	0.85	0.85	0.85
18/11/2009	G22RXN	G	X	N	186	0.86	0.85	0.87	0.9
18/11/2009	G23LAX	G	A	X	181	0.83	0.85	0.86	0.84
18/11/2009	G23RAN	G	A	N	181	0.84	0.87	0.85	0.87
18/11/2009	G24LAN	G	A	N	174	0.84	0.85	0.82	0.83
18/11/2009	G24RAX	G	A	X	174	0.83	0.83	0.83	0.83
30/11/2009	G01LXN	G	X	N	178	0.84	0.88	0.84	0.85
30/11/2009	G01RXX	G	X	X	178	0.84	0.85	0.83	0.84
30/11/2009	G02LAX	G	A	N	179	0.85	0.84	0.84	0.82
30/11/2009	G02RAN	G	A	X	179	0.84	0.85	0.85	0.86
30/11/2009	G03LRX	G	R	X	182	0.84	0.82	0.83	0.86
30/11/2009	G03RRN	G	R	N	182	0.83	0.84	0.84	0.83
30/11/2009	G04LXX	G	X	X	182	0.83	0.84	0.84	0.84
30/11/2009	G04RXN	G	X	N	182	0.82	0.85	0.83	0.84
30/11/2009	G05LRN	G	R	N	179	0.84	0.84	0.83	0.84
30/11/2009	G05RRX	G	R	X	179	0.84	0.82	0.85	0.83
30/11/2009	G06LAN	G	A	N	179	0.84	0.83	0.84	0.83
30/11/2009	G06RAX	G	A	X	179	0.83	0.84	0.84	0.84
30/11/2009	G07LRX	G	R	X	179	0.84	0.85	0.85	0.84
30/11/2009	G07RRN	G	R	N	179	0.84	0.85	0.84	0.85
30/11/2009	G08LXX	G	X	X	188	0.85	0.84	0.85	0.82
30/11/2009	G08RXN	G	X	N	188	0.84	0.85	0.83	0.83
30/11/2009	G09LAX	G	A	X	179	0.83	0.84	0.82	0.83
30/11/2009	G09RAN	G	A	N	179	0.84	0.86	0.83	0.83
30/11/2009	G10LAX	G	A	X	179	0.83	0.85	0.82	0.83
30/11/2009	G10RAN	G	A	N	179	0.84	0.82	0.83	0.84
30/11/2009	G11LRN	G	R	N	178	0.82	0.83	0.85	0.84
30/11/2009	G11RRX	G	R	X	178	0.85	0.83	0.83	0.84
30/11/2009	G12LXN	G	X	N	178	0.83	0.84	0.83	0.84
30/11/2009	G12RXX	G	X	X	178	0.83	0.84	0.83	0.85
30/11/2009	G13LAX	G	A	X	178	0.84	0.84	0.84	0.84
30/11/2009	G13RAN	G	A	N	178	0.82	0.84	0.83	0.83
30/11/2009	G14LRN	G	R	N	179	0.82	0.82	0.84	0.83
30/11/2009	G14RRX	G	R	X	179	0.83	0.83	0.83	0.84
30/11/2009	G15LRN	G	R	N	178	0.83	0.83	0.83	0.85
30/11/2009	G15RRX	G	R	X	178	0.83	0.84	0.84	0.83
30/11/2009	G16LXN	G	X	N	174	0.83	0.84	0.83	0.83
30/11/2009	G16RXX	G	X	X	174	0.82	0.84	0.83	0.85
30/11/2009	G17LAN	G	A	N	179	0.82	0.82	0.83	0.84
30/11/2009	G17RAX	G	A	X	179	0.83	0.82	0.83	0.83
30/11/2009	G18LXN	G	X	N	179	0.83	0.83	0.83	0.84
30/11/2009	G18RXX	G	X	X	179	0.82	0.84	0.83	0.84
30/11/2009	G19LXX	G	X	X	179	0.83	0.82	0.83	0.83
30/11/2009	G19RXN	G	X	N	179	0.83	0.82	0.84	0.81
30/11/2009	G20LRX	G	R	X	179	0.84	0.82	0.83	0.83
30/11/2009	G20RRN	G	R	N	179	0.83	0.84	0.85	0.83
30/11/2009	G21LRX	G	R	X	179	0.83	0.83	0.84	0.84
30/11/2009	G21RRN	G	R	N	179	0.82	0.84	0.84	0.83
30/11/2009	G22LXX	G	X	X	186	0.84	0.85	0.85	0.84
30/11/2009	G22RXN	G	X	N	186	0.85	0.84	0.87	0.89
30/11/2009	G23LAX	G	A	X	181	0.83	0.85	0.85	0.84
30/11/2009	G23RAN	G	A	N	181	0.84	0.86	0.84	0.86
30/11/2009	G24LAN	G	A	N	174	0.84	0.84	0.82	0.82
30/11/2009	G24RAX	G	A	X	174	0.83	0.83	0.83	0.82
21/12/2009	G01LXN	G	X	N	178	1.07	1.09	1.03	1.04
21/12/2009	G01RXX	G	X	X	178	1.04	1.03	1.02	1.01
21/12/2009	G02LAX	G	A	N	179	1.06	1.01	1.03	0.96
21/12/2009	G02RAN	G	A	X	179	1.06	1.04	1.05	1.07
21/12/2009	G03LRX	G	R	X	182	0.94	0.9	0.93	1.01
21/12/2009	G03RRN	G	R	N	182	0.96	0.94	0.99	0.92
21/12/2009	G04LXX	G	X	X	182	1.03	1.02	1.03	1.02
21/12/2009	G04RXN	G	X	N	182	0.96	1.01	0.98	1.03
21/12/2009	G05LRN	G	R	N	179	0.95	0.92	0.96	0.92
21/12/2009	G05RRX	G	R	X	179	0.98	0.9	0.97	0.92
21/12/2009	G06LAN	G	A	N	179	0.99	0.99	1.02	0.97
21/12/2009	G06RAX	G	A	X	179	1.01	1.02	1.03	0.99
21/12/2009	G07LRX	G	R	X	179	0.96	0.99	0.98	0.97
21/12/2009	G07RRN	G	R	N	179	0.92	1.01	0.96	0.99
21/12/2009	G08LXX	G	X	X	188	1.08	1.04	1.06	0.93
21/12/2009	G08RXN	G	X	N	188	1.07	1.05	0.99	0.98
21/12/2009	G09LAX	G	A	X	179	1.03	1.04	0.98	0.97
21/12/2009	G09RAN	G	A	N	179	1.03	1.06	1.01	0.99
21/12/2009	G10LAX	G	A	X	179	1.03	1.05	0.98	1
21/12/2009	G10RAN	G	A	N	179	1	0.94	1	1.04
21/12/2009	G11LRN	G	R	N	178	0.92	0.95	0.97	0.97
21/12/2009	G11RRX	G	R	X	178	0.98	0.9	0.96	0.97
21/12/2009	G12LXN	G	X	N	178	1.04	1.06	1.05	1.04
21/12/2009	G12RXX	G	X	X	178	1	1.03	1.01	1.05
21/12/2009	G13LAX	G	A	X	178	1.03	1.01	1.04	1.01
21/12/2009	G13RAN	G	A	N	178	0.96	1.02	1.01	1.01
21/12/2009	G14LRN	G	R	N	179	0.92	0.94	0.97	0.97
21/12/2009	G14RRX	G	R	X	179	0.94	0.93	0.96	0.95
21/12/2009	G15LRN	G	R	N	178	0.94	0.92	0.96	0.97
21/12/2009	G15RRX	G	R	X	178	0.93	0.95	0.95	0.94
21/12/2009	G16LXN	G	X	N	174	1.03	1.05	0.99	1
21/12/2009	G16RXX	G	X	X	174	0.98	1.04	1.01	1.06
21/12/2009	G17LAN	G	A	N	179	0.96	0.98	0.99	1.06
21/12/2009	G17RAX	G	A	X	179	1	0.97	1.01	0.99
21/12/2009	G18LXN	G	X	N	179	0.97	0.97	0.98	1.01
21/12/2009	G18RXX	G	X	X	179	0.99	1.01	1.03	1.01
21/12/2009	G19LXX	G	X	X	179	1.02	0.96	1.03	1.01
21/12/2009	G19RXN	G	X	N	179	1.03	0.99	1.08	0.94
21/12/2009	G20LRX	G	R	X	179	0.97	0.91	0.93	0.91
21/12/2009	G20RRN	G	R	N	179	0.94	1.04	0.99	0.99
21/12/2009	G21LRX	G	R	X	179	0.94	0.97	1.01	0.97
21/12/2009	G21RRN	G	R	N	179	0.94	0.97	0.97	0.98
21/12/2009	G22LXX	G	X	X	186	1.05	1.09	1.09	1.02
21/12/2009	G22RXN	G	X	N	186	1.08	1.05	1.16	1.1
21/12/2009	G23LAX	G	A	X	181	1.01	1.05	1.12	1.02
21/12/2009	G23RAN	G	A	N	181	1.06	1.08	1.07	1.1
21/12/2009	G24LAN	G	A	N	174	1.02	1.01	0.94	0.95
21/12/2009	G24RAX	G	A	X	174	0.99	0.99	0.99	0.94
4/01/2010	G01LXN	G	X	N	178	1.05	1.05	1.01	1.01
4/01/2010	G01RXX	G	X	X	178	0.94	1	1	0.98
4/01/2010	G02LAX	G	A	N	179	0.93	1	1.02	0.96
4/01/2010	G02RAN	G	A	X	179	1.06	1.04	1.03	1.06
4/01/2010	G03LRX	G	R	X	182	0.94	0.9	0.91	0.98
4/01/2010	G03RRN	G	R	N	182	0.95	0.94	0.99	0.93
4/01/2010	G04LXX	G	X	X	182	1.01	1	1	1
4/01/2010	G04RXN	G	X	N	182	0.95	1	0.95	1
4/01/2010	G05LRN	G	R	N	179	0.97	0.9	0.96	0.92
4/01/2010	G05RRX	G	R	X	179	0.95	0.92	0.95	0.94
4/01/2010	G06LAN	G	A	N	179	0.97	0.98	1	0.96
4/01/2010	G06RAX	G	A	X	179	0.98	1.03	1.01	1
4/01/2010	G07LRX	G	R	X	179	0.96	0.98	0.96	0.96
4/01/2010	G07RRN	G	R	N	179	0.93	1.01	0.96	1
4/01/2010	G08LXX	G	X	X	188	1.07	1.02	1.03	0.91
4/01/2010	G08RXN	G	X	N	188	1.05	1.02	0.96	0.96
4/01/2010	G09LAX	G	A	X	179	1.02	1.02	0.97	0.97
4/01/2010	G09RAN	G	A	N	179	1.03	1.04	1	0.98
4/01/2010	G10LAX	G	A	X	179	1.02	1.04	0.97	0.98
4/01/2010	G10RAN	G	A	N	179	1.04	0.93	1	1.03
4/01/2010	G11LRN	G	R	N	178	0.92	0.94	0.97	0.95
4/01/2010	G11RRX	G	R	X	178	0.96	0.89	0.94	0.94
4/01/2010	G12LXN	G	X	N	178	0.99	1.02	1.01	1
4/01/2010	G12RXX	G	X	X	178	0.97	1	0.99	1.02
4/01/2010	G13LAX	G	A	X	178	1.02	1	1.03	1
4/01/2010	G13RAN	G	A	N	178	0.95	1.02	0.99	1
4/01/2010	G14LRN	G	R	N	179	0.91	0.93	0.96	0.94
4/01/2010	G14RRX	G	R	X	179	0.93	0.93	0.95	0.95
4/01/2010	G15LRN	G	R	N	178	0.94	0.91	0.95	0.97
4/01/2010	G15RRX	G	R	X	178	0.93	0.95	0.94	0.92
4/01/2010	G16LXN	G	X	N	174	1.01	1.02	0.97	0.97
4/01/2010	G16RXX	G	X	X	174	0.97	1.01	0.99	1.02
4/01/2010	G17LAN	G	A	N	179	0.96	0.97	0.98	0.96
4/01/2010	G17RAX	G	A	X	179	0.99	0.96	0.99	0.98
4/01/2010	G18LXN	G	X	N	179	0.97	0.93	0.95	0.99
4/01/2010	G18RXX	G	X	X	179	0.97	0.99	0.95	0.98
4/01/2010	G19LXX	G	X	X	179	1.01	0.95	1.02	0.96
4/01/2010	G19RXN	G	X	N	179	0.99	0.97	1.06	0.92
4/01/2010	G20LRX	G	R	X	179	0.95	0.89	0.92	0.9
4/01/2010	G20RRN	G	R	N	179	0.94	1.03	0.98	0.98
4/01/2010	G21LRX	G	R	X	179	0.92	0.93	0.97	0.94
4/01/2010	G21RRN	G	R	N	179	0.93	0.96	0.96	0.98
4/01/2010	G22LXX	G	X	X	186	1	1.01	1.07	0.98
4/01/2010	G22RXN	G	X	N	186	0.95	1.03	1.13	1.08
4/01/2010	G23LAX	G	A	X	181	1.02	1.02	1.11	1.01
4/01/2010	G23RAN	G	A	N	181	1.06	1.06	1.04	1.08
4/01/2010	G24LAN	G	A	N	174	1.02	0.99	0.94	0.95
4/01/2010	G24RAX	G	A	X	174	0.98	0.98	0.99	0.93
28/01/2010	G01LXN	G	X	N	178	1.11	1.13	1.09	1.09
28/01/2010	G01RXX	G	X	X	178	1.1	1.07	1.05	1.06
28/01/2010	G02LAX	G	A	N	179	1.11	1.07	1.08	1.07
28/01/2010	G02RAN	G	A	X	179	1.1	1.11	1.1	1.12
28/01/2010	G03LRX	G	R	X	182	1.08	1.01	1.04	1.11
28/01/2010	G03RRN	G	R	N	182	1.02	1.05	1.06	1.06
28/01/2010	G04LXX	G	X	X	182	1.1	1.08	1.1	1.09
28/01/2010	G04RXN	G	X	N	182	1.02	1.07	1.04	1.08
28/01/2010	G05LRN	G	R	N	179	1.07	1.06	1.06	1.08
28/01/2010	G05RRX	G	R	X	179	1.05	1	1.08	1.05
28/01/2010	G06LAN	G	A	N	179	1.04	1.04	1.06	1.03
28/01/2010	G06RAX	G	A	X	179	1.09	1.08	1.09	1.06
28/01/2010	G07LRX	G	R	X	179	1.05	1.07	1.07	1.06
28/01/2010	G07RRN	G	R	N	179	1.07	1.09	1.02	1.07
28/01/2010	G08LXX	G	X	X	188	1.14	1.11	1.12	1.05
28/01/2010	G08RXN	G	X	N	188	1.09	1.09	1.02	1.02
28/01/2010	G09LAX	G	A	X	179	1.09	1.1	1.05	1.06
28/01/2010	G09RAN	G	A	N	179	1.09	1.12	1.09	1.08
28/01/2010	G10LAX	G	A	X	179	1.07	1.1	1.02	1.05
28/01/2010	G10RAN	G	A	N	179	1.1	1.04	1.05	1.07
28/01/2010	G11LRN	G	R	N	178	1.01	1.03	1.08	1.04
28/01/2010	G11RRX	G	R	X	178	1.05	1.01	1.03	1.04
28/01/2010	G12LXN	G	X	N	178	1.08	1.13	1.09	1.11
28/01/2010	G12RXX	G	X	X	178	1.06	1.06	1.07	1.11
28/01/2010	G13LAX	G	A	X	178	1.08	1.05	1.07	1.07
28/01/2010	G13RAN	G	A	N	178	1	1.06	1.05	1.06
28/01/2010	G14LRN	G	R	N	179	0.98	0.99	1.05	1.06
28/01/2010	G14RRX	G	R	X	179	1.01	1.02	1.07	1.06
28/01/2010	G15LRN	G	R	N	178	1	0.99	1.03	1.07
28/01/2010	G15RRX	G	R	X	178	1.02	1.09	1.02	1.01
28/01/2010	G16LXN	G	X	N	174	1.09	1.11	1.04	1.07
28/01/2010	G16RXX	G	X	X	174	1.03	1.08	1.06	1.11
28/01/2010	G17LAN	G	A	N	179	1.01	1	1.06	1.1
28/01/2010	G17RAX	G	A	X	179	1.05	1.05	1.07	1.03
28/01/2010	G18LXN	G	X	N	179	1.05	1.03	1.04	1.07
28/01/2010	G18RXX	G	X	X	179	1.05	1.06	1.08	1.07
28/01/2010	G19LXX	G	X	X	179	1.07	1.03	1.08	1.02
28/01/2010	G19RXN	G	X	N	179	1.06	1.04	1.11	1.07
28/01/2010	G20LRX	G	R	X	179	1.07	0.97	1.06	1.04
28/01/2010	G20RRN	G	R	N	179	1.02	1.16	1.09	1.13
28/01/2010	G21LRX	G	R	X	179	1.04	1.07	1.1	1.1
28/01/2010	G21RRN	G	R	N	179	0.99	1.07	1.05	1.1
28/01/2010	G22LXX	G	X	X	186	1.06	1.12	1.16	1.08
28/01/2010	G22RXN	G	X	N	186	1.13	1.11	1.21	1.15
28/01/2010	G23LAX	G	A	X	181	1.1	1.13	1.17	1.08
28/01/2010	G23RAN	G	A	N	181	1.12	1.14	1.12	1.17
28/01/2010	G24LAN	G	A	N	174	1.09	1.06	1	1.01
28/01/2010	G24RAX	G	A	X	174	1.05	1.03	1.04	1
10/02/2010	G01LXN	G	X	N	178	1.12	1.14	1.11	1.11
10/02/2010	G01RXX	G	X	X	178	1.11	1.08	1.07	1.08
10/02/2010	G02LAX	G	A	N	179	1.13	1.09	1.09	1.03
10/02/2010	G02RAN	G	A	X	179	1.11	1.13	1.12	1.13
10/02/2010	G03LRX	G	R	X	182	1.1	1.03	1.05	1.09
10/02/2010	G03RRN	G	R	N	182	1.07	1.11	1.12	1.08
10/02/2010	G04LXX	G	X	X	182	1.11	1.1	1.12	1.11
10/02/2010	G04RXN	G	X	N	182	1.05	1.1	1.06	1.1
10/02/2010	G05LRN	G	R	N	179	1.1	1.07	1.08	1.09
10/02/2010	G05RRX	G	R	X	179	1.08	1.03	1.1	1.11
10/02/2010	G06LAN	G	A	N	179	1.05	1.06	1.07	1.04
10/02/2010	G06RAX	G	A	X	179	1.1	1.07	1.11	1.08
10/02/2010	G07LRX	G	R	X	179	1.06	1.1	1.1	1.11
10/02/2010	G07RRN	G	R	N	179	1.08	1.11	1.06	1.11
10/02/2010	G08LXX	G	X	X	188	1.15	1.14	1.14	0.98
10/02/2010	G08RXN	G	X	N	188	1.11	1.11	1.04	1.05
10/02/2010	G09LAX	G	A	X	179	1.11	1.12	1.07	1.1
10/02/2010	G09RAN	G	A	N	179	1.11	1.14	1.11	1.1
10/02/2010	G10LAX	G	A	X	179	1.08	1.12	1.04	1.08
10/02/2010	G10RAN	G	A	N	179	1.12	0.99	1.07	1.1
10/02/2010	G11LRN	G	R	N	178	1.03	1.06	1.11	1.05
10/02/2010	G11RRX	G	R	X	178	1.08	1.07	1.07	1.08
10/02/2010	G12LXN	G	X	N	178	1.1	1.14	1.11	1.13
10/02/2010	G12RXX	G	X	X	178	1.08	1.08	1.08	1.13
10/02/2010	G13LAX	G	A	X	178	1.1	1.07	1.08	1.09
10/02/2010	G13RAN	G	A	N	178	1.01	1.07	1.06	1.07
10/02/2010	G14LRN	G	R	N	179	1.01	1.06	1.08	1.09
10/02/2010	G14RRX	G	R	X	179	1.03	1.05	1.09	1.08
10/02/2010	G15LRN	G	R	N	178	1.03	1.03	1.09	1.12
10/02/2010	G15RRX	G	R	X	178	1.05	1.13	1.05	1.04
10/02/2010	G16LXN	G	X	N	174	1.11	1.13	1.06	1.09
10/02/2010	G16RXX	G	X	X	174	1.04	1.09	1.08	1.12
10/02/2010	G17LAN	G	A	N	179	1.04	1.01	1.08	1.15
10/02/2010	G17RAX	G	A	X	179	1.07	1.07	1.09	1.05
10/02/2010	G18LXN	G	X	N	179	1.07	1.06	1.06	1.09
10/02/2010	G18RXX	G	X	X	179	1.03	1.08	1.1	1.09
10/02/2010	G19LXX	G	X	X	179	1.08	1.06	1.1	1.04
10/02/2010	G19RXN	G	X	N	179	1.08	1.06	1.13	0.99
10/02/2010	G20LRX	G	R	X	179	1.1	0.99	1.07	1.05
10/02/2010	G20RRN	G	R	N	179	1.08	1.15	1.1	1.15
10/02/2010	G21LRX	G	R	X	179	1.06	1.09	1.12	1.12
