Plot_code	Code	Year	Treat_W	Treat_N	Area	bare ground	litter	ACMI	AMME	ANAR	ARCA	AVBA	AVFA	AVspp	BLCR	BRADIS	BRDI	BRHO	BRMA	BRNI	CAAF	CABI	CABU	CACI	CAMA	CAMI	CASP	CEME	CHCA	CHPO	COBO	COCO	CRBA	CRCO	CRIN	DICA	ENCA	ERBO	ERCI	ERFA	ERFO	ERMO	ERPA	ERspp	EUCH	GAAN	GAAP	GIAN	GNACAL	HASQ	HEFA	HIIN	HOspp	HYGL	LAAU	LACA	LECO	LEFI	LOMU	LOSC	LOspp	LUBI	LUHI	LUTR	LUspp	MAFA	MALA	MARMAC	MASA	MAVU	MEIM	MEIN	MEPO	MICA	MILA	NALE	NAPU	PHCA	PHDI	POAN	RHIL	RHIN	RHOV	RIAU	RIMA	SAAP	SAME	SAMMEX	SCCA	SEVU	SIGA	SONOLE	SOXA	STspp	TRspp	TRWO	VIVI	VUMI	VUMY	Unk01	Unk02	unkGR1001	unkGR1002	Total
S34RXX	S34R	2009	X	X	PP	3	5				<1								12																	<1															1						1			18		50					3	<1								7											2						4								<1	0	0	106
S35LRX	S35L	2009	R	X	PP	<1	10				2								80																	<1																<1					25										<1	1								1											5															0	0	124
S35RRN	S35R	2009	R	N	PP						3								80																																	3					25										5	6																			<1															0	0	122
S36LAX	S36L	2009	A	X	PP	<1	5											<1	60						<1																											<1					2					25					7									3											2												3			<1	0	107
S36RAN	S36R	2009	A	N	PP	<1	2										2		65										<1							<1															<1	1					15									2	6									<1											10						1									0	0	104
S37LRN	S37L	2009	R	N	PP	20	4				1								50									<1																								3					20		<1							5	7																				<1															0	0	110
S37RRX	S37R	2009	R	X	PP	25	25				<1								10						<1											<1										<1				6	<1	1					20										15									<1											1						<1				<1					0	0	103
S38LAX	S38L	2009	A	X	PP	10	15				<1							<1	40						<1														10					2	<1							3					6			6		4				1	12									3		<1									10	4					1							<1		0	0	127
S38RAN	S38R	2009	A	N	PP	<1	3				1							<1	15	2					1								1			<1			30						1						2	1					6		<1	25		15				2	3									3		<1									8												1			0	0	120
S39LXN	S39L	2009	X	N	PP	5	2											<1	45						1											<1			3						<1						<1	4					25			1		3				<1	8									2											5															0	0	104
S39RXX	S39R	2009	X	X	PP						1						1		45	<1					<1								<1			<1			7						1						<1						12		<1	18		15					3									1		<1									5						<1						1			0	0	110
S40LAX	S40L	2009	A	X	PP	15	1			<1	8						5		15	3			<1		2								<1			1									2	4					1						18			3		15														2		<1									8			<1	<1								<1			0	0	103
S40RAN	S40R	2009	A	N	PP	7	5				6	2						2	15	1					2				2				<1			1			7						3						8	10					2		<1	2		5					25									6											4				<1						<1		2			0	0	117
S41LAN	S41L	2009	A	N	PP	1	3											<1	45	5					1								<1						7						5												9		<1	8		10			1																						5				1											0	0	101
S41RAX	S41R	2009	A	X	PP	15	1												20	1					1								3												3											<1			<1	20		8					15					5				2		<1									7				<1				<1				<1			0	<1	101
S42LXX	S42L	2009	X	X	PP	5	5					4					6		50	1								<1					<1			<1									15	6					<1	1					45	2	1						3	<1										2											3				<1											0	0	149
S42RXN	S42R	2009	X	N	PP	5	<1				6							<1	35	<1													<1			<1			12						10						<1	2					30	2	<1	2		2			1	<1										4											12						<1							<1		0	<1	123
S43LRX	S43L	2009	R	X	PP	30	5				5						<1		2						<1				6				<1			<1									1	2				30		<1					12	4		<1		<1			<1			6																			5															0	0	108
S43RRN	S43R	2009	R	N	PP	20	10				3								8	<1					<1				3				<1			<1									1							1					30			1								18																			9															0	0	104
S44LAN	S44L	2009	A	N	PP	<1	<1				11	<1					1	<1	13	6					2				2							<1			7		3				12					25		1					20		<1	4		1	<1		<1											2		1									11				2								<1	<1		0	0	124
S44RAX	S44R	2009	A	X	PP	7	<1										12	<1	3	1					1			<1	12				<1			<1			8						8					35		4					20	2	<1	2		8			6			12										1									4	6		<1	3								<1	3		0	0	158
S45LRX	S45L	2009	R	X	PP	8	20												60						1											<1															<1	1					18		<1			6					<1									4											2															0	0	120
S45RRN	S45R	2009	R	N	PP	15	9				5								20						30																					<1						20							<1			3			<1			10								6											3															0	0	121
S46LXN	S46L	2009	X	N	PP	<1	3				5						2		60	6					1			<1								<1			5							1					<1							1	20			5		1												10											5															0	0	125
S46RXX	S46R	2009	X	X	PP	3	1				1							1	25	3					7											<1			20												<1								6			25		5			3									11											4															0	0	115
S47LRN	S47L	2009	R	N	PP	25	10				3								10						1											<1				2						4				<1		10					10			3						6																					15															0	0	99
S47RRX	S47R	2009	R	X	PP	35	6				8	<1							6						1											<1									1						<1	4					25	1		2		1					4																				9															0	0	103
S48LXX	S48L	2009	X	X	PP	5	1				4								35						6											2				2						3				4	<1	<1					10			8		15					3									10											10												2			0	0	120
S48RXN	S48R	2009	X	N	PP	2	5				2							<1	60	<1					6		<1	3								2															5	15					6			9		<1					12									2											9												2			0	0	140
S25LRX	S25L	2009	R	X	SP	6	12				2						<1		50																								<1									2															15									2					6						18												8			0	0	121
S25RRN	S25R	2009	R	N	SP	20	10				12						<1		18																														<1			3															25																				30												2			0	0	120
S26LAX	S26L	2009	A	X	SP	1	4				6						2	1	12	1		<1														<1									3						8	2				<1	20					4					10									1			2								15											1	25			0	0	118
S26RAN	S26R	2009	A	N	SP						12								5	1																															2	18							<1								35									3			2								25											<1				0	0	103
S27LXN	S27L	2009	X	N	SP	2	<1				5						1		<1	<1		<1														<1			8						<1						8						75																						2								5											<1	4			0	0	110
S27RXX	S27R	2009	X	X	SP	15	12				5								4	3		1						<1						2					1												5	5															25	6								5			<1								20												2			0	0	111
S28LRN	S28L	2009	R	N	SP	2	12				3								18																	<1										1					<1	30	<1			<1	12			5		15														9											5						<1					<1	<1			0	0	112
S28RRX	S28R	2009	R	X	SP	3	20				2	<1					<1		50																	<1			1												1	<1				<1	5					20				7	5									2			<1								3											<1				0	0	119
S29LXN	S29L	2009	X	N	SP	1	15											<1	35																																3						25					3				5	20									2					4	6					15												<1			0	0	134
S29RXX	S29R	2009	X	X	SP	<1	3											<1	30																																1					<1	12					25				6	<1									5			<1								20											<1	10			0	0	112
S30LAX	S30L	2009	A	X	SP														15																	<1			<1												15					<1	3		1	2		70					4									4											18											<1	15			0	0	147
S30RAN	S30R	2009	A	N	SP													<1	20																	<1			15												30									5		20														10			1								8						<1					1	10			0	0	120
S31LAN	S31L	2009	A	N	SP	<1	3				6						5		40																				15												25									6		20				5	4									15			1								9												3			0	0	157
S31RAX	S31R	2009	A	X	SP	<1	<1										<1		25						2														20												10					<1				3		35					10									6			1								1											<1	7			0	0	120
S32LXN	S32L	2009	X	N	SP	<1	2				3								70	<1																			5												5					<1	20					10														9											2															0	0	126
S32RXX	S32R	2009	X	X	SP	<1	1				3								35																	<1															4	<1					20			2		20					2									15											7						<1					<1	<1			0	0	109
S33LRX	S33L	2009	R	X	SP	8	40				<1								40																																<1	<1				<1	8			3		20					<1									1											2															0	0	122
S33RRN	S33R	2009	R	N	SP	15	30				1								5																	<1															<1	<1					10					30														5											4						<1									0	0	100
S34LXN	S34L	2009	X	N	SP	1	<1				6							<1	25	<1					<1																			15							4	1	5			<1	13			2		18					<1									3					3						10						2						<1		<1	0	0	108
S34RXX	S34R	2009	X	X	SP	3	5												10																										<1						2	<1				<1	1		<1	15		50					2									5			<1								5						<1					<1				0	0	98
S35LRX	S35L	2009	R	X	SP	3	8												85	<1																<1									<1						<1						15										2									<1			<1								<1															0	0	113
S35RRN	S35R	2009	R	N	SP						3								70																	<1															1	2					30																						<1								1															0	0	107
S36LAX	S36L	2009	A	X	SP														40																									3							1	<1				<1	5		<1	6		50														5																						<1	1			0	0	111
S36RAN	S36R	2009	A	N	SP												6		25	4																															70											1														2			1								1											<1	2			0	0	112
S37LRN	S37L	2009	R	N	SP	15	15				1								25																																	2					45		<1	<1								1																			<1						<1									0	0	104
S37RRX	S37R	2009	R	X	SP	20	5											<1	25	1																								6	1					<1	<1	4					35		<1							2	1																				<1											<1	<1			0	0	100
S38LAX	S38L	2009	A	X	SP	2	20				<1								30	1					<1			<1	<1										<1													2				<1	15			1		3				1	25					7							<1								1						<1					<1	10			0	0	118
S38RAN	S38R	2009	A	N	SP	1	2				1							<1	15	4								1											10						5						2			<1		<1	25		<1	10		6										<1				2		<1	1								15						1					1	2			0	0	104
S39LXN	S39L	2009	X	N	SP	2	12					<1					<1		60	6					<1			<1																	<1					5						<1	20		<1							<1	4	1											<1								4											<1				0	0	114
S39RXX	S39R	2009	X	X	SP	10	2				4								45						<1			<1								<1									<1						<1	4				<1	15		<1	1		10			1											6								3			12				<1							<1	<1			0	0	113
S40LAX	S40L	2009	A	X	SP	8	<1												30	4					<1											<1									4	1					1					<1	55					5					1									1			1								4			<1								<1	<1			0	0	115
S40RAN	S40R	2009	A	N	SP	5	3				6	<1							12	20					1				2				<1			<1			6						2	2			1		4					<1						4				3	20			2						3			2								4			1			5					<1				0	0	108
S41LAN	S41L	2009	A	N	SP	1	<1			<1									30	1													<1						15						5						<1					<1	15		1	12		15			2		2												<1								1						1					<1	<1			0	0	101
S41RAX	S41R	2009	A	X	SP	5	<1				4								25	3					1			<1					1												3									<1		<1	6		<1	40		10														8			<1								6											<1	<1			0	0	112
S42LXX	S42L	2009	X	X	SP	15	10				3	<1							35	<1					<1								<1											6	3						<1	5				<1	25		<1						1	<1													<1								31											<1				0	0	134
S42RXN	S42R	2009	X	N	SP	1	3				<1							<1	35	<1					1								<1						12						6						1					<1	12	3		4		5	<1		1	4	6	1								<1			<1								15						1					<1	<1			0	0	111
S43LRX	S43L	2009	R	X	SP	15	12				3								12										3										1						<1							15				<1	9			2		1			<1			20																			5						2									0	0	100
S43RRN	S43R	2009	R	N	SP	20	3												25	<1										1						<1			5						1					3		4					30					5						3							6				<1								<1											<1				0	0	106
S44LAN	S44L	2009	A	N	SP	2	3				8	2				<1	<1	<1	20	5			<1		5			<1					4			1			5						10					3	2	15				1	12		3	6		5			3													<1	<1								5				3				<1			1		<1		0	0	124
S44RAX	S44R	2009	A	X	SP	6	<1				2	1	<1				12	<1	12	1		2			1				5				2			<1			5						5					10		10				<1	18		1	1		12	<1		2			3	1				2					<1	<1										<1		4		3		<1			1				0	0	122
S45LRX	S45L	2009	R	X	SP	15	15				<1								60						4											<1																20								<1		6														5											2															0	0	127
S45RRN	S45R	2009	R	N	SP	15	12												20						18											<1									1							30					6		<1	1		2						3								3											1															0	0	112
S46LXN	S46L	2009	X	N	SP	<1	<1									<1	10	<1	40	20					<1														10												<1								35			5		1												1											6															0	0	128
S46RXX	S46R	2009	X	X	SP	3	2									<1	1		20	18					7		<1									<1			12							2													15	2		20		6												5			<1								5															0	0	118
S47LRN	S47L	2009	R	N	SP	60	2				<1	<1							3						1											<1														<1	<1	10					12			<1		<1					12				3					3											4	7	1													0	0	118
S47RRX	S47R	2009	R	X	SP	25	12				<1						<1		5						2				2																					3		2					15			1							25				3					2			<1								2															0	0	99
S48LXX	S48L	2009	X	X	SP	10	4				4								12	<1	<1				6											1	2									2					1					<1	1	2		10		35														5											3											<1				0	0	98
S48RXN	S48R	2009	X	N	SP	4	6				6						2		12	<1	<1				6											2									<1						5	20				<1				7		5					25									15											9											<1	1			0	0	125
S25LRX	S25L	2010	R	X	PP	5	0				6	<1					<1	<1	45								<1									<1			<1						<1	<1					<1						9														<1					1.5										<1	18												25					109.5
S25RRN	S25R	2010	R	N	PP	4	<1				5						<1	<1	55																	<1			<1												<1						8																			1											25												4					102
S26LAX	S26L	2010	A	X	PP	1	<1				4							<1	15								<1									<1									<1						<1						10		<1			1														3											40												25			1		100
S26RAN	S26R	2010	A	N	PP	<1	<1				15							<1	15																				<1												<1	<1					15										20									1.5											18												20			<1		104.5
S27LXN	S27L	2010	X	N	PP	0	<1				10						<1	<1	55																																<1	<1	<1				1.5					<1					10									6											25												1.5					109
S27RXX	S27R	2010	X	X	PP	10	1				5						<1	1	10							<1																																			<1	5					18	<1								8											18	<1											25	<1				101
S28LRN	S28L	2010	R	N	PP	<1	2					<1							80																	<1										2					<1	2	12				6			2																1											2						1											110
S28RRX	S28R	2010	R	X	PP	6	1				3								75																	<1			<1			<1									1	<1			<1		2									20										3											3												2					116
S29LXN	S29L	2010	X	N	PP	1	0				<1						<1		75																	<1						1									1	2					3			<1		1				8										9											1.5						10						2					114.5
S29RXX	S29R	2010	X	X	PP	6	1												25								<1									<1															<1	<1		<1			15			<1		6				9	1									7											10						2						20					102
S30LAX	S30L	2010	A	X	PP	2	1				4								40																	<1									<1						<1	<1					1			12		1					1.5									<1											12						2						25					101.5
S30RAN	S30R	2010	A	N	PP	1	<1										2	<1	55																	<1						1				2					<1		5				12			1		<1				2	4									1											10												10					106
S31LAN	S31L	2010	A	N	PP	<1	3				10						4		45						2											<1						<1									1								<1	8		<1					5	<1								6											6												15					105
S31RAX	S31R	2010	A	X	PP	5	<1												30																	<1															<1						6		1	4		8					5	<1	<1							15											18												20	<1		1		113
S32LXN	S32L	2010	X	N	PP	8	1				12								45																	<1			<1			<1			<1						1	<1					30		<1			<1														3																	<1						3					103
S32RXX	S32R	2010	X	X	PP	1	<1				3								45																	<1															1	<1					15		<1	3		20					4									8											3						<1						2					105
S33LRX	S33L	2010	R	X	PP	20	<1				6								25							6	<1									<1			1						1						1	1					16			3									<1							5											10						1						5					101
S33RRN	S33R	2010	R	N	PP	18	<1				1								12							6										<1			1						12						<1	5					20			4		1					2									8											1						8						1					100
S34LXN	S34L	2010	X	N	PP	1	<1				<1								30									<1								<1			8												1	1					50			5		6					1.5	<1								1.5											4						1						6					116
S34RXX	S34R	2010	X	X	PP	1	<1												25																																<1						<1		<1	60		1					3									10											2						4						<1					106
S35LRX	S35L	2010	R	X	PP	2	3				8								60						<1		<1									<1			<1						<1	2					<1	1					25		<1								2	<1								6											4												<1					113
S35RRN	S35R	2010	R	N	PP	<1	1				4	<1							60						<1																				6							<1					25										6	10																									1											113
S36LAX	S36L	2010	A	X	PP	<1	2											1	12						<1											<1			<1																		4		<1	1		20					12									5											3						2						40					102
S36RAN	S36R	2010	A	N	PP	<1	2				<1						8		25						<1				1							<1									1						<1						20					<1					10									1									2		15						12						5					102
S37LRN	S37L	2010	R	N	PP	6	<1				1								80						<1	<1																										<1					20									9	10																				<1						<1											126
S37RRX	S37R	2010	R	X	PP	12	<1				2	<1							35						<1											<1		2	<1							1				6	<1	<1					20		<1	<1		<1				<1	25									4											2						2	<1					4					115
S38LAX	S38L	2010	A	X	PP	10	<1			<1	<1							<1	30							1			<1										3						<1						<1	<1					8		<1	15	<1	5				1	10									2		<1									15						1.5						2	<1				103.5
S38RAN	S38R	2010	A	N	PP	2	<1				1								40						<1										<1				1												<1						15		1	40		<1					3																				20						<1						5					128
S39LXN	S39L	2010	X	N	PP	8	<1											<1	25						<1										<1				<1						<1						<1	<1					30			15		2				<1	15									3											15												5					118
S39RXX	S39R	2010	X	X	PP	5	<1				3						<1		15						<1																											<1					15			55		3				<1	5									1											8												8					118
S40LAX	S40L	2010	A	X	PP	3	<1				10						5	<1	20																<1	<1			<1							2					<1						20		1	12		30												<1		<1											8				<1								8					119
S40RAN	S40R	2010	A	N	PP	2	<1				9	15					<1	<1	35								<1		<1							<1										<1											1		<1	3		4					30									2											8			<1	1						<1		3					113
S41LAN	S41L	2010	A	N	PP	<1	<1											<1	40						<1																																25		<1	35		2				1	21																				8		1										5					138
S41RAX	S41R	2010	A	X	PP	1	<1					<1							8						<1				<1																												8		<1	80		1					20									1																												119
S42LXX	S42L	2010	X	X	PP	2	<1					4					4	<1	30																<1	<1			<1							6						<1	<1				50	3	1	2		<1		3		<1		5								1											2																	113
S42RXN	S42R	2010	X	N	PP	<1	<1				10					<1	<1	<1	55																<1	<1			1														<1				30		<1	10		<1		1		<1		1								<1											10																	118
S43LRX	S43L	2010	R	X	PP	30	<1				5								15						<1	<1	<1		15							1									<1	4				20		<1					10	2	<1	1		<1		<1				3						<1													4												<1					110
S43RRN	S43R	2010	R	N	PP	12	<1				6					<1			30	<1						<1			6							<1			<1						1		1					<1					35		<1									3																			15		<1															109
S44LAN	S44L	2010	A	N	PP	2	<1			<1	15	<1					2	<1	20						<1				1						<1	<1			<1		2							<1		25							20		2	5		<1		<1				2																			6				1								5					108
S44RAX	S44R	2010	A	X	PP	15	<1			<1	5	2				<1	20	<1	10							2			6						<1	<1														25		<1					15	2	1	4		2		1				6				<1	<1					<1										8			2								<1					126
S45LRX	S45L	2010	R	X	PP	4	<1					<1							90																	<1			<1							1						1			<1		20		<1		<1			1			<1									6											1																	124
S45RRN	S45R	2010	R	N	PP	15	<1				6								70						2	1	<1																									1			<1					<1											1					9											4																	109
S46LXN	S46L	2010	X	N	PP	<1	<1	5			8						10	<1	30						<1											<1			<1							2							<1		<1			1	40	<1								1								6											6																	109
S46RXX	S46R	2010	X	X	PP	10	<1				5					<1	5	1	30						1		<1								<1	<1			6												1	1	<1		<1			1	10	3		8		1			6						<1			15											4												1					109
S47LRN	S47L	2010	R	N	PP	15	<1				4						<1		50						<1											<1										6	3					6					12		<1	1						10																					12																	119
S47RRX	S47R	2010	R	X	PP	20	<1				12	<1							45						<1		<1									1			<1													<1					15			5							9																				12												<1					119
S48LXX	S48L	2010	X	X	PP	5	<1				6								20						1		<1								<1	<1			1	2										2	<1	1					12		<1	25		8					3									8											10				1								5				5	115
S48RXN	S48R	2010	X	N	PP	<1	<1				2	<1					4	<1	60						1		<1									<1			1							<1					<1	2					6		<1	6		6					24				<1					1											12												6					131
S25LRX	S25L	2010	R	X	SP	3	<1				2					<1			40								<1																								<1	<1							<1								18									2	1		<1		9						25												5					105
S25RRN	S25R	2010	R	N	SP	15	<1				25					<1	1		12																														1																		25																				45												<1					124
S26LAX	S26L	2010	A	X	SP	1	4				8	1	<1				8	2	8								<1									<1									1						<1						20		<1			3					12									<1			2								20											<1	20					110
S26RAN	S26R	2010	A	N	SP	2	<1				15								6																				<1												<1	<1															60									<1			2								35												3					123
S27LXN	S27L	2010	X	N	SP	1	<1				10						5	<1	5																							<1									3						80																						8								3												6					121
S27RXX	S27R	2010	X	X	SP	10	1				5								12							<1													<1			1									<1	1	<1														40	3								3			<1								30												6			<1		112
S28LRN	S28L	2010	R	N	SP	20	1												45							<1													<1						1	1					<1	1	<1				10			3																8			3								12												1					106
S28RRX	S28R	2010	R	X	SP	12	2					<1					2		80							<1	<1												<1												<1	<1					3					<1				12	6									2			<1								1												<1					120
S29LXN	S29L	2010	X	N	SP	1	<1				2								15																																						25									8	25									1						6					20												2					105
S29RXX	S29R	2010	X	X	SP	2	<1		<1										18																	<1															<1						15					18				18										10											20												10			<1		111
S30LAX	S30L	2010	A	X	SP	1	1												40																	<1															<1								1	3		2					6									5			2								25												30					116
S30RAN	S30R	2010	A	N	SP	4	2												65																<1	1			<1						<1						1									6		<1					5									4			6								12						<1					2	12					120
S31LAN	S31L	2010	A	N	SP	<1	2				8						2	<1	40																																<1									12		<1				12	11									5			8								8						3					<1	10					121
S31RAX	S31R	2010	A	X	SP	<1	<1										<1	1	25						1											<1															2								<1	10		20					20									8			1								2											<1	12					102
S32LXN	S32L	2010	X	N	SP	4	<1		6		2								60																	<1						<1			<1						2	<1					30					<1														8			5								3						2											122
S32RXX	S32R	2010	X	X	SP	3	6				6								40								<1									<1									1						2	<1					15			6		7					1									10			1								12												4					114
S33LRX	S33L	2010	R	X	SP	30	1				<1								60							4	<1												1						<1						1	1					9			1		1					<1									1			<1								5											<1	1					116
S33RRN	S33R	2010	R	N	SP	40	1				1								25							12										<1			1						2						1	2			<1		12			1		1														4			6								3						2					<1	<1				<1	114
S34LXN	S34L	2010	X	N	SP	1	<1				5	<1					8	<1	18						<1											<1			<1						<1						<1	<1	5		<1		18		<1	9		6						1								5			2		4						25						4					<1	6			<1		117
S34RXX	S34R	2010	X	X	SP	1	<1				1								20						<1		<1									<1															2						2		1	50		2					2	1								12			1								8						2					1	1			<1		107
S35LRX	S35L	2010	R	X	SP	2	1												90						<1		<1									<1															1	<1					18		<1								6									2			<1								<1											<1	1					121
S35RRN	S35R	2010	R	N	SP	3	1				1								80																	<1									3							<1					30		<1												<1								1								5																	124
S36LAX	S36L	2010	A	X	SP	1	5												25																																						6		1	35		10														5			3														1					1	15					108
S36RAN	S36R	2010	A	N	SP	<1	1										6	<1	80																	<1															1						5		<1	3		3					2									4			2								6				<1								2					115
S37LRN	S37L	2010	R	N	SP	12	2				4	<1							75							<1										<1															<1	1					18			<1						<1		<1											<1								2						1											115
S37RRX	S37R	2010	R	X	SP	2	<1					<1							65																	<1		2	6											1	<1	<1			<1		20		<1	<1		<1				4										1											<1						<1				<1		2					103
S38LAX	S38L	2010	A	X	SP	<1	2				3							<1	5						<1			2	1										1												<1					<1	20			6	<1	4				1	30					1							<1								2				<1		<1					1	25					104
S38RAN	S38R	2010	A	N	SP	<1	<1				6								20										2																												40		<1	12		<1				1										<1			<1								30						4					1	1					117
S39LXN	S39L	2010	X	N	SP	<1	2					<1				<1		<1	45						<1				1																					6							25		1								10	1								<1			4								15												1					111
S39RXX	S39R	2010	X	X	SP	6	<1				8							<1	30							<1	<1								1				1												1	<1				<1	15			12		6														5			4						5		15											<1	1					110
S40LAX	S40L	2010	A	X	SP	1	1				<1	<1					1	<1	12																<1	<1										1					<1	<1					75		<1			10					2						1			1			1								15					<1	<1						6					127
S40RAN	S40R	2010	A	N	SP	<1	<1				10	5							40								<1	<1	1							<1										3					2	<1							<1			2				3	25									4			1								9				<1		6					<1	2					113
S41LAN	S41L	2010	A	N	SP	<1	<1										<1	<1	30										1										1												<1						35		1	30							4									<1			6								2						1					<1	1					112
S41RAX	S41R	2010	A	X	SP	<1	<1					<1							12						1											<1																				<1	10		1	70		<1				<1	4									5											20											1	<1					124
S42LXX	S42L	2010	X	X	SP	10	3				4	2					<1	<1	30							<1		<1								<1			4						1	1					<1	1	<1			<1	35		<1	1	<1	1		<1									<1						<1								15					<1						<1						108
S42RXN	S42R	2010	X	N	SP	<1	<1									<1	1		40						1														1														<1				25		<1	10	<1	<1				6	12	2											<1								18						1					1						118
S43LRX	S43L	2010	R	X	SP	15	<1				3								50							<1			<1							<1			20						1						<1	1				<1	6			2		<1						4											1								6						2					1						112
S43RRN	S43R	2010	R	N	SP	2	<1				<1						<1		80										2										1											2							20											3						10					<1																									120
S44LAN	S44L	2010	A	N	SP	2	<1				6	12				<1			40						1										1	<1			<1											5						<1	8		<1	18				1															1								4				<1							6	2					107
S44RAX	S44R	2010	A	X	SP	5	<1				2	8					6	<1	12						<1	1			2							<1			<1									<1		18	<1					<1	25		2	2		3		4				2				<1	1						<1										1		<1		3					1	5					103
S45LRX	S45L	2010	R	X	SP	20	1				<1							<1	80						<1	<1										<1			1													3												<1												6			3								2											<1	<1					116
S45RRN	S45R	2010	R	N	SP	20	<1								<1			<1	70						4		<1								<1	<1			3						1						1	2					6		<1	<1																3		<1	2								2																	114
S46LXN	S46L	2010	X	N	SP	<1	2										8		10	2																																2	<1				6		85																				3																									118
S46RXX	S46R	2010	X	X	SP	1	2									<1	2		30						<1		<1												2							8						3							40	2		3		10												2			<1								8											1	2					116
S47LRN	S47L	2010	R	N	SP	8	<1					1							30						1		<1									<1									1					1		1					12			<1							36									3			1								4	20	<1												1		4	124
S47RRX	S47R	2010	R	X	SP	5	<1				3						1		20						3		<1	<1	2							1			3											3	<1						12		<1	4		<1					40				<1					<1			<1								3											<1	3				5	108
S48LXX	S48L	2010	X	X	SP	2	<1				1							<1	18						5												6		4							2					1	1				<1		<1	<1	30		5					15									9			1								5				<1							1	4					110
S48RXN	S48R	2010	X	N	SP	<1	<1				9					<1	4		40						2		<1									<1			2												1	1	<1			<1				12		7					18									3			2								5												5					111
S25LRX	S25L	2011	R	X	PP						10.9	<0.5					1.6	1.6	50								<0.5									<0.5			<0.5	<0.5							<0.5										18.75		<0.5	<0.5						<0.5											3.2										37.5												1.6					125.15
S25RRN	S25R	2011	R	N	PP		3.2				9.6						1.6		62.5																	<0.5																					6.25										<0.5	1.6									1.6										18.75						<0.5						1.6					106.7
S26LAX	S26L	2011	A	X	PP	1.6				<0.5	12.5						<0.5	1.6	1.6																	1.6			<0.5																		12.5																<0.5				3.2										68.75												1.6					104.95
S26RAN	S26R	2011	A	N	PP						12.5						3.2	1.6	3.2																	<0.5																					18.75										25	1.6																			37.5						4.8						1.6					109.75
