"","plant","treatment","max_TEW","min_TEW","int_TEW","diff_tew","year","layer","Rain"
"55","Grassland","Added",104.540324485029,103.031920424417,104.540324485029,0,2015,"100-150",298.724
"56","Grassland","Ambient",101.675402670373,100.713985123544,101.675402670373,0,2015,"100-150",263.906
"57","Grassland","Drought",111.263182924975,108.89216141079,111.263182924975,0,2015,"100-150",239.268
"58","Shrubland","Added",77.0851871794154,76.3194467485685,76.9884750088748,0.0967121705405987,2015,"100-150",298.724
"59","Shrubland","Ambient",75.4881821813855,74.1147356210052,75.0765624159262,0.411619765459207,2015,"100-150",263.906
"60","Shrubland","Drought",88.5515975794559,86.0631781699687,86.0631781699687,2.48841940948724,2015,"100-150",239.268
"61","Grassland","Added",114.91892432785,103.83931413649,104.560499442907,10.3584248849436,2015,"50-100",298.724
"62","Grassland","Ambient",109.260930248406,99.9417488165509,99.9417488165509,9.31918143185491,2015,"50-100",263.906
"63","Grassland","Drought",99.1538281279702,92.9340982823062,95.1484579081923,4.00537021977794,2015,"50-100",239.268
"64","Shrubland","Added",76.2143243210157,70.3787557395006,70.3787557395006,5.83556858151513,2015,"50-100",298.724
"65","Shrubland","Ambient",73.7109181764943,67.851020200858,67.851020200858,5.85989797563634,2015,"50-100",263.906
"66","Shrubland","Drought",72.2543820928144,69.4023898279119,69.4023898279119,2.85199226490241,2015,"50-100",239.268
"67","Grassland","Added",50.3711198301945,41.9575396116232,41.9575396116232,8.41358021857132,2015,"0-50",298.724
"68","Grassland","Ambient",49.623265320312,41.334089283479,41.334089283479,8.28917603683301,2015,"0-50",263.906
"69","Grassland","Drought",39.32216097904,33.466359949468,33.466359949468,5.85580102957197,2015,"0-50",239.268
"70","Shrubland","Added",51.8622464093036,42.3543418533956,42.3543418533956,9.50790455590794,2015,"0-50",298.724
"71","Shrubland","Ambient",51.6742102320752,41.1211441795331,41.1211441795331,10.5530660525422,2015,"0-50",263.906
"72","Shrubland","Drought",48.9870756249057,39.8866861755675,39.8866861755675,9.10038944933813,2015,"0-50",239.268
