Year	Plot	Treat_W	Treat_N	biomass_g	grass_per	for_per	bare_per	litter_per	total_live
2010	G02LAX	A	X	67.61	80	5	10	5	85
2010	G02LAX	A	X	39.99	80	5	5	10	85
2010	G02RAN	A	N	92.48	90	0	0	10	90
2010	G02RAN	A	N	43.38	50	20	25	5	70
2010	G02RAN	A	N	87.19	80	0	0	20	80
2010	G02RAN	A	N	49.89	45	15	0	40	60
2010	G03LRX	R	X	12.85	30	0	60	10	30
2010	G03LRX	R	X	24.98	40	20	35	5	60
2010	G03LRX	R	X	36.14	45	10	40	5	55
2010	G03LRX	R	X	17.74	30	25	40	5	55
2010	G03RRN	R	N	24.35	70	5	20	5	75
2010	G03RRN	R	N	87.7	70	10	15	5	80
2010	G03RRN	R	N	47.41	60	5	30	5	65
2010	G03RRN	R	N	68.88	70	10	10	10	80
2010	G04LXX	X	X	30.72	75	15	5	5	90
2010	G04LXX	X	X	26.11	50	30	10	10	80
2010	G04LXX	X	X	20.99	90	5	0	5	95
2010	G04LXX	X	X	22.02	75	15	5	5	90
2010	G04RXN	X	N	89.16	80	10	0	10	90
2010	G04RXN	X	N	48.79	60	15	5	20	75
2010	G04RXN	X	N	46.91	40	10	30	20	50
2010	G04RXN	X	N	80.57	80	0	5	15	80
2010	G05LRN	R	N	54.16	30	60	0	10	90
2010	G05LRN	R	N	48.92	30	60	10	0	90
2010	G05LRN	R	N	33.88	30	40	30	0	70
2010	G05LRN	R	N	59.19	40	40	20	0	80
2010	G05RRX	R	X	12.84	60	10	20	10	70
2010	G05RRX	R	X	24.66	85	5	5	5	90
2010	G05RRX	R	X	118.9	80	5	10	5	85
2010	G05RRX	R	X	33.19	60	20	10	10	80
2010	G06LAN	A	N	86	70	20	5	5	90
2010	G06LAN	A	N	102.08	80	10	5	5	90
2010	G06LAN	A	N	83.8	90	5	0	5	95
2010	G06LAN	A	N	56.46	75	5	10	10	80
2010	G06RAX	A	X	72.5	95	5	0	0	100
2010	G06RAX	A	X	11.6	20	15	60	5	35
2010	G06RAX	A	X	24.76	40	20	30	10	60
2010	G06RAX	A	X	43.62	30	30	20	20	60
2010	G07LRX	R	X	52.53	60	30	10	0	90
2010	G07LRX	R	X	13.53	30	40	20	10	70
2010	G07LRX	R	X	6.32	20	20	60	0	40
2010	G07LRX	R	X	14.37	20	20	60	0	40
2010	G07RRN	R	N	60.88	70	20	0	10	90
2010	G07RRN	R	N	33.79	20	60	20	0	80
2010	G07RRN	R	N	24.48	40	20	40	0	60
2010	G07RRN	R	N	28.29	25	20	50	5	45
2010	G08LXX	X	X	35.18	40	40	20	0	80
2010	G08LXX	X	X	75.66	70	15	0	15	85
2010	G08LXX	X	X	31.76	30	20	50	0	50
2010	G08LXX	X	X	72.78	65	0	20	15	65
2010	G08RXN	X	N	106.83	85	10	0	5	95
2010	G08RXN	X	N	44.54	55	10	30	5	65
2010	G08RXN	X	N	60.3	60	0	30	10	60
2010	G08RXN	X	N	72.22	70	0	20	10	70
2010	G09LAX	A	X	30.4	60	10	10	20	70
2010	G09LAX	A	X	67.96	70	15	5	10	85
2010	G09LAX	A	X	45.07	40	15	30	15	55
2010	G09LAX	A	X	54.36	75	15	5	5	90
2010	G09RAN	A	N	71.73	80	0	0	20	80
2010	G09RAN	A	N	96.18	90	0	0	10	90
2010	G09RAN	A	N	104.39	95	0	0	5	95
2010	G09RAN	A	N	85.86	95	0	0	5	95
2010	G10LAX	A	X	77.12	70	0	0	30	70
2010	G10LAX	A	X	50.38	60	10	0	30	70
2010	G10LAX	A	X	30.79	50	0	10	40	50
2010	G10LAX	A	X	53.88	50	20	20	10	70
2010	G10RAN	A	N	48.48	50	0	0	50	50
2010	G10RAN	A	N	40.29	60	0	0	40	60
2010	G10RAN	A	N	33.53	50	0	0	50	50
2010	G10RAN	A	N	58.26	50	0	10	40	50
2010	G11LRN	R	N	55.88	30	70	0	0	100
2010	G11LRN	R	N	19.1	30	50	20	0	80
2010	G11LRN	R	N	46.76	60	0	40	0	60
2010	G11LRN	R	N	74.2	70	20	10	0	90
2010	G11RRX	R	X	47.8	40	30	20	10	70
2010	G11RRX	R	X	20.98	20	20	60	0	40
2010	G11RRX	R	X	19.28	30	30	40	0	60
2010	G11RRX	R	X	65.84	60	0	40	0	60
2010	G12LXN	X	N	47.36	90	0	0	10	90
2010	G12LXN	X	N	48.04	60	10	30	0	70
2010	G12LXN	X	N	107.91	95	0	0	5	95
2010	G12LXN	X	N	81.06	90	0	0	10	90
2010	G12RXX	X	X	36.41	80	20	0	0	100
2010	G12RXX	X	X	43.75	70	20	10	0	90
2010	G12RXX	X	X	56.11	90	0	10	0	90
2010	G12RXX	X	X	58.3	70	10	10	10	80
2010	G13LAX	A	X	62.88	60	0	10	30	60
2010	G13LAX	A	X	42.22	35	15	0	50	50
2010	G13LAX	A	X	51.5	30	40	15	15	70
2010	G13LAX	A	X	30.14	40	20	0	40	60
2010	G13RAN	A	N	66.47	40	10	0	50	50
2010	G13RAN	A	N	54.85	50	0	0	50	50
2010	G13RAN	A	N	46.6	50	0	0	50	50
2010	G13RAN	A	N	25.99	45	0	0	55	45
2010	G14LRN	R	N	51.52	60	20	20	0	80
2010	G14LRN	R	N	63.66	70	0	30	0	70
2010	G14LRN	R	N	30.62	60	30	10	0	90
2010	G14LRN	R	N	55.3	45	5	50	0	50
2010	G14RRX	R	X	53.45	70	10	20	0	80
2010	G14RRX	R	X	30.92	50	15	35	0	65
2010	G14RRX	R	X	30.38	30	40	30	0	70
2010	G14RRX	R	X	1.54	30	20	50	0	50
2010	G15LRN	R	N	13.75	10	20	70	0	30
2010	G15LRN	R	N	52.55	30	40	30	0	70
2010	G15LRN	R	N	12.25	15	15	70	0	30
2010	G15LRN	R	N	71.51	35	20	35	10	55
2010	G15RRX	R	X	101.22	75	5	15	5	80
2010	G15RRX	R	X	53.1	20	70	10	0	90
2010	G15RRX	R	X	52.19	30	50	20	0	80
2010	G15RRX	R	X	75.55	40	25	25	10	65
2010	G16LXN	X	N	64.78	70	10	0	20	80
2010	G16LXN	X	N	0	0	0	0	0	0
2010	G16LXN	X	N	57.88	60	10	10	20	70
2010	G16LXN	X	N	30.62	30	15	45	10	45
2010	G16RXX	X	X	20.26	40	30	0	30	70
2010	G16RXX	X	X	45.91	20	30	40	10	50
2010	G16RXX	X	X	50.24	30	20	40	10	50
2010	G16RXX	X	X	40.96	30	20	45	5	50
2010	G17LAN	A	N	44.16	50	20	0	30	70
2010	G17LAN	A	N	58.09	90	0	0	10	90
2010	G17LAN	A	N	71.74	90	0	0	10	90
2010	G17LAN	A	N	38.46	50	50	0	0	100
2010	G17RAX	A	X	38.16	50	10	0	40	60
2010	G17RAX	A	X	42.38	65	0	0	35	65
2010	G17RAX	A	X	41.61	80	0	0	20	80
2010	G17RAX	A	X	27.6	40	35	10	15	75
2010	G18LXN	X	N	32.82	60	10	15	15	70
2010	G18LXN	X	N	25.5	60	10	20	10	70
2010	G18LXN	X	N	63.79	80	0	10	10	80
2010	G18LXN	X	N	30.04	60	0	20	20	60
2010	G18RXX	X	X	37.8	70	0	0	30	70
2010	G18RXX	X	X	26.17	65	15	0	20	80
2010	G18RXX	X	X	64.92	0	70	0	30	70
2010	G18RXX	X	X	46.25	80	0	0	20	80
2010	G19LXX	X	X	48.61	60	10	10	20	70
2010	G19LXX	X	X	8.15	60	10	20	10	70
2010	G19LXX	X	X	35.86	50	0	10	40	50
2010	G19LXX	X	X	27.65	30	10	30	30	40
2010	G19RXN	X	N	45.86	50	0	0	50	50
2010	G19RXN	X	N	11.78	20	25	40	15	45
2010	G19RXN	X	N	36.73	70	0	0	30	70
2010	G19RXN	X	N	38.97	30	30	25	15	60
2010	G20LRX	R	X	33.52	40	25	20	15	65
2010	G20LRX	R	X	18.6	30	40	10	20	70
2010	G20LRX	R	X	8.35	30	20	40	10	50
2010	G20LRX	R	X	17.78	20	20	60	0	40
2010	G20RRN	R	N	62.29	60	20	10	10	80
2010	G20RRN	R	N	1.34	10	0	80	10	10
2010	G20RRN	R	N	19.36	20	60	10	10	80
2010	G20RRN	R	N	36.3	30	50	20	0	80
2010	G21LRX	R	X	1.5	10	10	70	10	20
2010	G21LRX	R	X	25.14	20	30	40	10	50
2010	G21LRX	R	X	20.12	30	30	30	10	60
2010	G21LRX	R	X	31.48	20	60	10	10	80
2010	G21RRN	R	N	29.27	70	0	30	0	70
2010	G21RRN	R	N	66.22	10	90	0	0	100
2010	G21RRN	R	N	41.23	5	70	25	0	75
2010	G21RRN	R	N	32.67	20	60	20	0	80
2010	G22LXX	X	X	8.49	40	10	0	50	50
2010	G22LXX	X	X	16.01	45	15	20	20	60
2010	G22LXX	X	X	30.33	50	0	0	50	50
2010	G22LXX	X	X	6.82	20	20	10	50	40
2010	G22RXN	X	N	8.91	10	0	0	90	10
2010	G22RXN	X	N	35.38	40	20	30	10	60
2010	G22RXN	X	N	26.85	40	0	20	40	40
2010	G22RXN	X	N	35.76	40	10	0	50	50
2010	G23LAX	A	X	6.51	20	20	10	50	40
2010	G23LAX	A	X	26.88	40	10	10	40	50
2010	G23LAX	A	X	34.53	40	0	0	60	40
2010	G23LAX	A	X	3.3	20	0	0	80	20
2010	G23RAN	A	N	24.72	40	0	0	60	40
2010	G23RAN	A	N	40.44	40	30	0	30	70
2010	G23RAN	A	N	43.06	40	0	0	60	40
2010	G23RAN	A	N	35.25	40	0	0	60	40
2010	G24LAN	A	N	37.78	40	40	0	20	80
2010	G24LAN	A	N	47.23	50	20	15	15	70
2010	G24LAN	A	N	18.43	25	15	0	60	40
2010	G24LAN	A	N	9.88	30	0	20	50	30
2010	G24RAX	A	X	68.34	60	0	0	40	60
2010	G24RAX	A	X	30.31	40	30	0	30	70
2010	G24RAX	A	X	43.33	60	10	15	15	70
2010	G24RAX	A	X	23.46	30	0	50	20	30
2011	G01LXN	X	N	10.15	50	0	20	30	50
2011	G01LXN	X	N	29.22	40	0	35	25	40
2011	G01LXN	X	N	15.2	70	0	10	20	70
2011	G01LXN	X	N	33.73	60	0	30	10	60
2011	G01RXX	X	X	74.34	40	50	0	10	90
2011	G01RXX	X	X	29.53	40	40	5	15	80
2011	G01RXX	X	X	60.2	90	0	0	10	90
2011	G01RXX	X	X	26.65	90	0	0	10	90
2011	G02LAX	A	X	33.26	80	10	0	10	90
2011	G02LAX	A	X	34.97	60	0	30	10	60
2011	G02LAX	A	X	19.39	60	10	10	20	70
2011	G02LAX	A	X	21.57	45	0	25	30	45
2011	G02RAN	A	N	46.98	70	0	0	30	70
2011	G02RAN	A	N	78.55	85	0	0	15	85
2011	G02RAN	A	N	154.72	75	15	5	5	90
2011	G02RAN	A	N	55.85	80	0	5	15	80
2011	G03LRX	R	X	30.8	70	0	30	0	70
2011	G03LRX	R	X	40.16	60	0	40	0	60
2011	G03LRX	R	X	18.3	60	0	40	0	60
2011	G03LRX	R	X	48.05	94	1	5	0	95
2011	G03RRN	R	N	112.5	99	0	0	1	99
2011	G03RRN	R	N	56	100	0	0	0	100
2011	G03RRN	R	N	79.85	95	0	0	5	95
2011	G03RRN	R	N	49.93	75	0	20	5	75
2011	G04LXX	X	X	43.88	60	0	10	30	60
2011	G04LXX	X	X	89.46	80	0	5	15	80
2011	G04LXX	X	X	36.91	80	0	0	20	80
2011	G04LXX	X	X	6.94	50	0	30	20	50
2011	G04RXN	X	N	32.15	95	0	0	5	95
2011	G04RXN	X	N	26.26	50	0	10	40	50
2011	G04RXN	X	N	62.03	60	0	40	0	60
2011	G04RXN	X	N	98.18	75	0	0	25	75
2011	G05LRN	R	N	66.69	90	0	0	10	90
2011	G05LRN	R	N	54.09	95	0	0	5	95
2011	G05LRN	R	N	51.03	90	0	0	10	90
2011	G05LRN	R	N	33.8	65	0	20	15	65
2011	G05RRX	R	X	30.37	60	0	10	30	60
2011	G05RRX	R	X	25.93	60	0	20	20	60
2011	G05RRX	R	X	30.6	55	0	20	25	55
2011	G05RRX	R	X	34.8	30	0	60	10	30
2011	G06LAN	A	N	35.8	80	15	0	5	95
2011	G06LAN	A	N	53.2	90	0	0	10	90
2011	G06LAN	A	N	38.69	80	0	5	15	80
2011	G06LAN	A	N	36.84	55	0	25	20	55
2011	G06RAX	A	X	38.74	80	0	5	15	80
2011	G06RAX	A	X	32.36	50	10	30	10	60
2011	G06RAX	A	X	41.99	90	5	0	5	95
2011	G06RAX	A	X	25.42	70	0	10	20	70
2011	G07LRX	R	X	13.24	45	0	45	10	45
2011	G07LRX	R	X	4.32	30	0	50	20	30
2011	G07LRX	R	X	75.48	60	0	30	10	60
2011	G07LRX	R	X	4.8	25	10	55	10	35
2011	G07RRN	R	N	14.27	50	5	35	10	55
2011	G07RRN	R	N	19.06	60	0	35	5	60
2011	G07RRN	R	N	14.17	50	0	45	5	50
2011	G07RRN	R	N	5.4	20	10	60	10	30
2011	G08LXX	X	X	13.69	50	0	0	50	50
2011	G08LXX	X	X	56.72	70	20	0	10	90
2011	G08LXX	X	X	20.41	60	0	10	30	60
2011	G08LXX	X	X	39.57	70	0	0	30	70
2011	G08RXN	X	N	19.22	40	0	50	10	40
2011	G08RXN	X	N	39.96	70	0	0	30	70
2011	G08RXN	X	N	11.43	40	0	30	30	40
2011	G08RXN	X	N	26.38	35	0	0	65	35
2011	G09LAX	A	X	15.49	70	0	10	20	70
2011	G09LAX	A	X	43.72	70	0	20	10	70
2011	G09LAX	A	X	44.73	75	0	0	25	75
2011	G09LAX	A	X	9.15	30	0	60	10	30
2011	G09RAN	A	N	75.95	90	0	0	10	90
2011	G09RAN	A	N	56.79	90	0	0	10	90
2011	G09RAN	A	N	70.4	60	0	20	20	60
2011	G09RAN	A	N	78.72	80	0	10	10	80
2011	G10LAX	A	X	11.54	35	0	30	35	35
2011	G10LAX	A	X	19.39	50	0	30	20	50
2011	G10LAX	A	X	11.57	40	10	35	15	50
2011	G10LAX	A	X	6.47	15	15	70	0	30
2011	G10RAN	A	N	34.42	0	90	0	10	90
2011	G10RAN	A	N	17.74	50	0	0	50	50
2011	G10RAN	A	N	6	30	0	40	30	30
2011	G10RAN	A	N	10.28	35	0	30	35	35
2011	G11LRN	R	N	2.07	15	0	60	25	15
2011	G11LRN	R	N	30.1	60	0	0	40	60
2011	G11LRN	R	N	20.52	0	50	0	50	50
2011	G11LRN	R	N	1.61	10	0	70	20	10
2011	G11RRX	R	X	9.38	15	10	65	10	25
2011	G11RRX	R	X	62.64	90	0	0	10	90
2011	G11RRX	R	X	5.75	45	0	40	15	45
2011	G11RRX	R	X	19.55	40	0	40	20	40
2011	G12LXN	X	N	12.27	50	0	30	20	50
2011	G12LXN	X	N	0.99	15	0	25	60	15
2011	G12LXN	X	N	4.75	20	0	40	40	20
2011	G12LXN	X	N	9.99	15	0	10	75	15
2011	G12RXX	X	X	53.29	95	0	0	5	95
2011	G12RXX	X	X	42.11	85	0	0	15	85
2011	G12RXX	X	X	75.26	95	0	0	5	95
2011	G12RXX	X	X	56.8	90	0	0	10	90
2011	G13LAX	A	X	77.25	95	0	0	5	95
2011	G13LAX	A	X	51.82	95	0	0	5	95
2011	G13LAX	A	X	39.32	85	0	5	10	85
2011	G13LAX	A	X	46.02	70	0	20	10	70
2011	G13RAN	A	N	47.78	85	0	0	15	85
2011	G13RAN	A	N	5.67	30	0	30	40	30
2011	G13RAN	A	N	6.16	20	0	60	20	20
2011	G13RAN	A	N	29.09	60	0	30	10	60
2011	G14LRN	R	N	41.94	65	15	10	10	80
2011	G14LRN	R	N	26.47	60	0	25	15	60
2011	G14LRN	R	N	14.78	40	0	55	5	40
2011	G14LRN	R	N	25.01	25	5	50	20	30
2011	G14RRX	R	X	25.82	40	0	40	20	40
2011	G14RRX	R	X	48.24	90	0	0	10	90
2011	G14RRX	R	X	43.5	90	0	0	10	90
2011	G14RRX	R	X	29.54	80	10	0	10	90
2011	G15LRN	R	N	62.89	65	15	10	10	80
2011	G15LRN	R	N	65.74	70	0	20	10	70
2011	G15LRN	R	N	62.46	90	0	0	10	90
2011	G15LRN	R	N	32.69	35	0	50	15	35
2011	G15RRX	R	X	28.35	50	0	30	20	50
2011	G15RRX	R	X	61.62	85	0	0	15	85
2011	G15RRX	R	X	50.15	90	0	0	10	90
2011	G15RRX	R	X	12.65	30	0	10	60	30
2011	G16LXN	X	N	5.1	30	0	50	20	30
2011	G16LXN	X	N	3.58	30	5	45	20	35
2011	G16LXN	X	N	7.52	40	0	40	20	40
2011	G16LXN	X	N	4.63	20	0	70	10	20
2011	G16RXX	X	X	23.73	50	10	0	40	60
2011	G16RXX	X	X	37.01	80	10	0	10	90
2011	G16RXX	X	X	65.56	85	10	0	5	95
2011	G16RXX	X	X	23.43	70	0	25	5	70
2011	G17LAN	A	N	13.17	50	0	30	20	50
2011	G17LAN	A	N	33.7	20	45	20	15	65
2011	G17LAN	A	N	10.13	10	40	45	5	50
2011	G17LAN	A	N	13.67	10	40	30	20	50
2011	G17RAX	A	X	12.08	50	0	0	50	50
2011	G17RAX	A	X	16.54	60	0	0	40	60
2011	G17RAX	A	X	32.51	60	0	0	40	60
2011	G17RAX	A	X	36.63	70	0	0	30	70
